date,value,indicator
1939-01-01,29923.0,nonfarm
1939-02-01,30100.0,nonfarm
1939-03-01,30280.0,nonfarm
1939-04-01,30094.0,nonfarm
1939-05-01,30299.0,nonfarm
1939-06-01,30502.0,nonfarm
1939-07-01,30419.0,nonfarm
1939-08-01,30663.0,nonfarm
1939-09-01,31031.0,nonfarm
1939-10-01,31411.0,nonfarm
1939-11-01,31470.0,nonfarm
1939-12-01,31542.0,nonfarm
1940-01-01,31603.0,nonfarm
1940-02-01,31715.0,nonfarm
1940-03-01,31825.0,nonfarm
1940-04-01,31701.0,nonfarm
1940-05-01,31879.0,nonfarm
1940-06-01,31977.0,nonfarm
1940-07-01,31942.0,nonfarm
1940-08-01,32352.0,nonfarm
1940-09-01,32810.0,nonfarm
1940-10-01,33267.0,nonfarm
1940-11-01,33669.0,nonfarm
1940-12-01,34174.0,nonfarm
1941-01-01,34481.0,nonfarm
1941-02-01,34843.0,nonfarm
1941-03-01,35092.0,nonfarm
1941-04-01,35468.0,nonfarm
1941-05-01,36182.0,nonfarm
1941-06-01,36650.0,nonfarm
1941-07-01,37137.0,nonfarm
1941-08-01,37544.0,nonfarm
1941-09-01,37835.0,nonfarm
1941-10-01,37949.0,nonfarm
1941-11-01,38024.0,nonfarm
1941-12-01,38104.0,nonfarm
1942-01-01,38347.0,nonfarm
1942-02-01,38512.0,nonfarm
1942-03-01,38935.0,nonfarm
1942-04-01,39352.0,nonfarm
1942-05-01,39771.0,nonfarm
1942-06-01,40029.0,nonfarm
1942-07-01,40472.0,nonfarm
1942-08-01,40988.0,nonfarm
1942-09-01,41259.0,nonfarm
1942-10-01,41515.0,nonfarm
1942-11-01,41674.0,nonfarm
1942-12-01,41915.0,nonfarm
1943-01-01,42172.0,nonfarm
1943-02-01,42393.0,nonfarm
1943-03-01,42552.0,nonfarm
1943-04-01,42647.0,nonfarm
1943-05-01,42596.0,nonfarm
1943-06-01,42781.0,nonfarm
1943-07-01,42700.0,nonfarm
1943-08-01,42546.0,nonfarm
1943-09-01,42492.0,nonfarm
1943-10-01,42675.0,nonfarm
1943-11-01,42821.0,nonfarm
1943-12-01,42746.0,nonfarm
1944-01-01,42654.0,nonfarm
1944-02-01,42538.0,nonfarm
1944-03-01,42294.0,nonfarm
1944-04-01,42063.0,nonfarm
1944-05-01,41985.0,nonfarm
1944-06-01,41947.0,nonfarm
1944-07-01,41904.0,nonfarm
1944-08-01,41850.0,nonfarm
1944-09-01,41679.0,nonfarm
1944-10-01,41708.0,nonfarm
1944-11-01,41711.0,nonfarm
1944-12-01,41860.0,nonfarm
1945-01-01,41895.0,nonfarm
1945-02-01,41897.0,nonfarm
1945-03-01,41798.0,nonfarm
1945-04-01,41446.0,nonfarm
1945-05-01,41304.0,nonfarm
1945-06-01,41149.0,nonfarm
1945-07-01,40874.0,nonfarm
1945-08-01,40466.0,nonfarm
